Survey,Year,Quarter,Ship,Gear,HaulNo,ShootLat,ShootLon,DateTime,Depth,Area,Subarea,DayNight,AphiaID,Species,Sex,Age_0,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,DateofCalculation
SWC-IBTS,1986,1,SCO2,GOV,38,55.4667,-7.5,15/03/1986 21:55:00,55,47,39E2,N,126438,Merlangius merlangus,-9,0,18,22.333,5.167,0.5,0,0,0,0,0,0,
SWC-IBTS,1986,1,SCO2,GOV,39,55.2333,-8.7833,16/03/1986 08:15:00,92,47,39E1,D,126438,Merlangius merlangus,-9,0,8,77.933,70.533,15.033,3.5,0,0,0,0,0,
SWC-IBTS,1986,1,SCO2,GOV,40,55.4333,-9.2,16/03/1986 11:30:00,109,47,39E0,D,126438,Merlangius merlangus,-9,0,0,17.117,12.9,2.233,0.25,0,1.5,0,0,0,
SWC-IBTS,1986,1,SCO2,GOV,41,55.8333,-9,16/03/1986 14:55:00,130,47,40E0,D,126438,Merlangius merlangus,-9,0,0,4.367,4.9,1.233,1,0,0.5,0,0,0,
SWC-IBTS,1986,1,SCO2,GOV,43,55.9,-8.15,17/03/1986 08:20:00,166,47,40E1,D,126438,Merlangius merlangus,-9,0,4.25,64.067,17.8,2.633,0.25,0,0,0,0,0,
SWC-IBTS,1986,1,SCO2,GOV,44,55.85,-7.8167,17/03/1986 11:20:00,139,47,40E2,D,126438,Merlangius merlangus,-9,0,23.25,242.55,47.767,5.933,1.5,0,0,0,0,0,
SWC-IBTS,1986,1,SCO2,GOV,45,56.2167,-8.3833,17/03/1986 15:50:00,125,44,41E1,D,126438,Merlangius merlangus,-9,0,0,16.886,18.543,7.586,2.35,3.1,3.536,0,0,0,
SWC-IBTS,1986,1,SCO2,GOV,46,56.6,-7.3667,18/03/1986 08:20:00,157,45,42E2,D,126438,Merlangius merlangus,-9,0,3.5,14.5,3,0,0,0,0,0,0,0,
SWC-IBTS,1986,1,SCO2,GOV,48,56.4167,-6.7,18/03/1986 17:45:00,82,45,41E3,D,126438,Merlangius merlangus,-9,0,26,0,0,0,0,0,0,0,0,0,
SWC-IBTS,1986,1,SCO2,GOV,49,55.2667,-5.25,19/03/1986 08:15:00,44,46,39E4,D,126438,Merlangius merlangus,-9,0,115.5,15.5,0,0,0,0,0,0,0,0,
SWC-IBTS,1986,1,SCO2,GOV,50,55.45,-4.85,19/03/1986 11:35:00,55,46,39E5,D,126438,Merlangius merlangus,-9,0,680,91,16,3,0,0,0,0,0,0,
SWC-IBTS,1987,1,SCO2,GOV,3,59.2,-4.2833,05/03/1987 14:55:00,93,40,47E5,D,126438,Merlangius merlangus,-9,0,17,3,0,1,0,0,0,0,0,0,
SWC-IBTS,1987,1,SCO2,GOV,4,59.7,-4.3,05/03/1987 18:55:00,98,41,48E5,N,126438,Merlangius merlangus,-9,0,0,15,6.5,0.5,0,0,0,0,0,0,
SWC-IBTS,1987,1,SCO2,GOV,5,58.6513,-4.275,06/03/1987 08:25:00,91,40,46E5,D,126438,Merlangius merlangus,-9,0,219.667,5.333,0,0,0,0,0,0,0,0,
SWC-IBTS,1987,1,SCO2,GOV,6,58.7833,-5.0583,06/03/1987 13:15:00,100,42,46E4,D,126438,Merlangius merlangus,-9,0,100.8,8,2.5,0.7,0,0,0,0,0,0,
SWC-IBTS,1987,1,SCO2,GOV,7,59.35,-5.2,06/03/1987 18:15:00,115,42,47E4,N,126438,Merlangius merlangus,-9,0,24.8,639.467,401.017,82.55,3.667,1.5,2,0,0,0,
SWC-IBTS,1987,1,SCO2,GOV,8,59.5,-5.4,06/03/1987 21:05:00,100,41,48E4,N,126438,Merlangius merlangus,-9,0,0,169.5,99.5,12,1,0,1,1,0,0,
SWC-IBTS,1987,1,SCO2,GOV,9,58.45,-5.7333,07/03/1987 10:40:00,109,43,45E4,D,126438,Merlangius merlangus,-9,0,2475.525,3.375,0,0,0,0,0,0,0,0,
SWC-IBTS,1987,1,SCO2,GOV,10,58.25,-6.0333,07/03/1987 13:30:00,120,43,45E3,D,126438,Merlangius merlangus,-9,0,804.633,12.067,0,0,0,0,0,0,0,0,
SWC-IBTS,1987,1,SCO2,GOV,11,58.1167,-5.7167,07/03/1987 16:10:00,104,43,45E4,D,126438,Merlangius merlangus,-9,0,2017,1.5,0.5,0,0,0,0,0,0,0,
SWC-IBTS,1987,1,SCO2,GOV,12,57.7167,-5.9833,07/03/1987 19:50:00,152,43,44E4,N,126438,Merlangius merlangus,-9,0,816.8,8.1,0.5,0,0,0,0,0,0,0,
SWC-IBTS,1987,1,SCO2,GOV,13,57.15,-7,08/03/1987 08:30:00,128,44,43E2,D,126438,Merlangius merlangus,-9,0,242.176,18.579,3.301,0.5,0.444,0,0,0,0,0,
SWC-IBTS,1987,1,SCO2,GOV,14,56.9833,-6.9833,08/03/1987 11:05:00,130,45,42E3,D,126438,Merlangius merlangus,-9,0,246.333,2.667,0,0,0,0,0,0,0,0,
SWC-IBTS,1987,1,SCO2,GOV,15,56.4167,-6.7333,08/03/1987 17:15:00,82,45,41E3,D,126438,Merlangius merlangus,-9,0,2654,0,0,0,0,0,0,0,0,0,
SWC-IBTS,1987,1,SCO2,GOV,16,55.9667,-6.6833,08/03/1987 21:10:00,58,47,40E3,N,126438,Merlangius merlangus,-9,0,969.286,0.714,0,0,0,0,0,0,0,0,
SWC-IBTS,1987,1,SCO2,GOV,17,55.4667,-4.8,09/03/1987 08:20:00,59,46,39E5,D,126438,Merlangius merlangus,-9,0,3357.25,22.75,0,0,0,0,0,0,0,0,
SWC-IBTS,1987,1,SCO2,GOV,18,55.3,-5.1833,09/03/1987 10:40:00,48,46,39E4,D,126438,Merlangius merlangus,-9,0,1836,52,1,0,1,0,0,0,0,0,
SWC-IBTS,1987,1,SCO2,GOV,19,55.3667,-6.7667,09/03/1987 16:30:00,75,47,39E3,D,126438,Merlangius merlangus,-9,0,17,0,0,0,0,0,0,0,0,0,
SWC-IBTS,1987,1,SCO2,GOV,20,55.45,-7.5,09/03/1987 20:00:00,54,47,39E2,N,126438,Merlangius merlangus,-9,0,165.038,32.514,8.948,1.5,0,0,0,0,0,0,
SWC-IBTS,1987,1,SCO2,GOV,21,55.25,-8.8,10/03/1987 08:20:00,96,47,39E1,D,126438,Merlangius merlangus,-9,0,59.467,68.817,59.967,13.25,0.5,0,0,0,0,0,
SWC-IBTS,1987,1,SCO2,GOV,22,55.4333,-9.2,10/03/1987 11:15:00,110,47,39E0,D,126438,Merlangius merlangus,-9,0,0,0.143,0.857,1,0,0,0,0,0,0,
SWC-IBTS,1987,1,SCO2,GOV,23,55.7833,-9,10/03/1987 14:30:00,125,47,40E0,D,126438,Merlangius merlangus,-9,0,0,0,0.5,1.5,2,0,0,0,0,0,
SWC-IBTS,1987,1,SCO2,GOV,24,56.55,-9,10/03/1987 19:35:00,142,44,42E0,N,126438,Merlangius merlangus,-9,0,0,0,0,0,0,0,0,0,0,0,
SWC-IBTS,1987,1,SCO2,GOV,25,55.85,-7.8,11/03/1987 08:15:00,145,47,40E2,D,126438,Merlangius merlangus,-9,0,55.41,68.788,56.302,14.25,1.25,0,0,0,0,0,
SWC-IBTS,1987,1,SCO2,GOV,26,55.9167,-8.15,11/03/1987 11:10:00,172,47,40E1,D,126438,Merlangius merlangus,-9,0,1080.881,955.471,743.731,121.167,5.75,0,0,0,0,0,
SWC-IBTS,1987,1,SCO2,GOV,27,56.2167,-8.3833,11/03/1987 14:55:00,145,44,41E1,D,126438,Merlangius merlangus,-9,0,12.274,75.77,69.996,21.173,11.788,0,0,0,0,0,
SWC-IBTS,1987,1,SCO2,GOV,29,58.3833,-6.0667,13/03/1987 11:00:00,80,43,45E3,D,126438,Merlangius merlangus,-9,0,196.858,9.042,2.167,0.333,0,0,0,0,0,0,
SWC-IBTS,1987,1,SCO2,GOV,31,57.9667,-6.2333,13/03/1987 18:00:00,102,43,44E3,N,126438,Merlangius merlangus,-9,0,1675.642,23.192,2.067,2.2,0,0,0,0,0,0,
SWC-IBTS,1987,1,SCO2,GOV,32,56.6167,-7.3667,14/03/1987 08:20:00,170,45,42E2,D,126438,Merlangius merlangus,-9,0,602.333,53.667,8,5,0,0,0,0,0,0,
SWC-IBTS,1987,1,SCO2,GOV,34,56.7667,-8.55,14/03/1987 17:50:00,105,44,42E1,D,126438,Merlangius merlangus,-9,0,4.061,30.734,26.165,8.099,3.541,0.2,1,0.2,0,0,
SWC-IBTS,1987,1,SCO2,GOV,35,56.7965,-9.0373,14/03/1987 22:00:00,180,44,42E0,N,126438,Merlangius merlangus,-9,0,0,0,0.375,0.375,0.25,0,0,0,0,0,
SWC-IBTS,1987,1,SCO2,GOV,36,57.2833,-8.4833,15/03/1987 08:35:00,140,44,43E1,D,126438,Merlangius merlangus,-9,0,206.018,610.023,251.544,58.601,20.213,0,0,0.6,0,0,
SWC-IBTS,1987,1,SCO2,GOV,38,57.6667,-8.5167,15/03/1987 17:34:00,146,44,44E1,D,126438,Merlangius merlangus,-9,0,201.752,741.838,253.972,57.413,19.026,0,0,0,0,0,
SWC-IBTS,1987,1,SCO2,GOV,39,57.5333,-9.0833,15/03/1987 21:15:00,145,44,44E0,N,126438,Merlangius merlangus,-9,0,5.077,74.773,95.111,35.002,16.07,0.533,0.5,0.933,0,0,
SWC-IBTS,1987,1,SCO2,GOV,40,58.0667,-9,16/03/1987 08:20:00,179,44,45E0,D,126438,Merlangius merlangus,-9,0,0.75,41.089,86.826,46.594,20.673,2.133,0,1.933,0,0,
SWC-IBTS,1987,1,SCO2,GOV,41,58,-8.8833,16/03/1987 10:40:00,160,44,45E1,D,126438,Merlangius merlangus,-9,0,26.202,351.427,335.816,112.204,55.217,3.067,0,1.067,0,0,
SWC-IBTS,1987,1,SCO2,GOV,42,58.4833,-8.15,16/03/1987 16:05:00,145,44,45E1,D,126438,Merlangius merlangus,-9,0,0,3.733,6.019,1.536,0.712,0,0,0,0,0,
SWC-IBTS,1987,1,SCO2,GOV,43,58.3167,-7.3333,16/03/1987 19:35:00,92,44,45E2,N,126438,Merlangius merlangus,-9,0,487.033,44.548,4.293,0.875,0.25,0,0,0,0,0,
SWC-IBTS,1987,1,SCO2,GOV,44,58.45,-6.05,17/03/1987 12:25:00,84,43,45E3,D,126438,Merlangius merlangus,-9,0,1076.525,50.392,9.317,3.867,0,0,0,0,0,0,
SWC-IBTS,1987,1,SCO2,GOV,46,57.9167,-6.2,18/03/1987 10:00:00,80,43,44E3,D,126438,Merlangius merlangus,-9,0,7182.483,23.833,3.15,0.533,0,0,0,0,0,0,
SWC-IBTS,1987,1,SCO2,GOV,47,57.7167,-5.9833,18/03/1987 13:20:00,150,43,44E4,D,126438,Merlangius merlangus,-9,0,863.967,3.233,0.9,1.2,0,0,0,0,0,0,
SWC-IBTS,1987,1,SCO2,GOV,49,58.25,-6,18/03/1987 20:45:00,117,43,45E3,N,126438,Merlangius merlangus,-9,0,790.6,0,0,0,0,0,0,0,0,0,
SWC-IBTS,1987,1,SCO2,GOV,50,58.6167,-7.3333,20/03/1987 14:20:00,96,44,46E2,D,126438,Merlangius merlangus,-9,0,167.361,212.843,37.391,8.281,2.625,0,0.5,0,0,0,
SWC-IBTS,1987,1,SCO2,GOV,51,58.8167,-6.2833,20/03/1987 18:50:00,120,42,46E3,N,126438,Merlangius merlangus,-9,0,202.2,78.8,8.883,1.617,0,0,0.5,0,0,0,
SWC-IBTS,1987,1,SCO2,GOV,53,59.2,-6.2833,21/03/1987 08:30:00,120,42,47E3,D,126438,Merlangius merlangus,-9,0,23.65,185.75,52.417,15.683,2,0.5,0,1,0,0,
SWC-IBTS,1987,1,SCO2,GOV,54,59.3333,-5.1667,21/03/1987 13:10:00,116,42,47E4,D,126438,Merlangius merlangus,-9,0,5.75,22.917,8.8,2.2,0.333,0,0,0,0,0,
SWC-IBTS,1988,1,SCO2,GOV,1,58,-6.25,03/03/1988 17:36:00,100,43,45E3,N,126438,Merlangius merlangus,-9,0,443.656,2889.594,4,1.75,0,0,0,0,0,0,
SWC-IBTS,1988,1,SCO2,GOV,2,57.7833,-6,03/03/1988 20:18:00,135,43,44E3,N,126438,Merlangius merlangus,-9,0,21.511,76.489,0,0,0,0,0,0,0,0,
SWC-IBTS,1988,1,SCO2,GOV,3,57.1667,-6.9833,04/03/1988 08:18:00,123,45,43E3,D,126438,Merlangius merlangus,-9,0,7.6,22.917,2.483,1,1,0,0,0,0,0,
SWC-IBTS,1988,1,SCO2,GOV,4,56.9667,-7,04/03/1988 10:16:00,129,45,42E2,D,126438,Merlangius merlangus,-9,0,6.6,29.8,0.6,0,0,0,0,0,0,0,
SWC-IBTS,1988,1,SCO2,GOV,5,56.6833,-7.3667,04/03/1988 13:05:00,170,45,42E2,D,126438,Merlangius merlangus,-9,0,4.2,94.217,5.583,1,0,0,0,0,0,0,
SWC-IBTS,1988,1,SCO2,GOV,6,56.3833,-6.85,04/03/1988 16:24:00,70,45,41E3,D,126438,Merlangius merlangus,-9,0,118.4,567.1,18.5,0,0,0,0,0,0,0,
SWC-IBTS,1988,1,SCO2,GOV,7,56.0333,-6.65,04/03/1988 19:48:00,57,45,41E3,N,126438,Merlangius merlangus,-9,0,292.8,509.167,8.033,1,0,0,0,0,0,0,
SWC-IBTS,1988,1,SCO2,GOV,9,55.4667,-4.8,05/03/1988 11:05:00,56,46,39E5,D,126438,Merlangius merlangus,-9,0,421,56,0,0,0,0,0,0,0,0,
SWC-IBTS,1988,1,SCO2,GOV,10,55.2667,-5.1833,05/03/1988 13:39:00,48,46,39E4,D,126438,Merlangius merlangus,-9,0,239.333,83.667,0,0,0,0,0,0,0,0,
SWC-IBTS,1988,1,SCO2,GOV,11,55.3667,-6.7667,05/03/1988 20:11:00,73,47,39E3,N,126438,Merlangius merlangus,-9,0,4,2.5,1.25,0.25,0,0,0,0,0,0,
SWC-IBTS,1988,1,SCO2,GOV,12,55.85,-9.0167,06/03/1988 08:31:00,140,47,40E0,D,126438,Merlangius merlangus,-9,0,0,4.393,3.149,2.875,1.083,0.25,0.25,0,0,0,
SWC-IBTS,1988,1,SCO2,GOV,14,55.4333,-9.15,07/03/1988 08:28:00,110,47,39E0,D,126438,Merlangius merlangus,-9,0,4,586.476,115.59,41.133,22.8,1,2.5,2.5,0,0,
SWC-IBTS,1988,1,SCO2,GOV,15,55.25,-8.8,07/03/1988 11:20:00,94,47,39E1,D,126438,Merlangius merlangus,-9,0,6,299.738,72.595,34,22.333,4.833,1,1.5,0,0,
SWC-IBTS,1988,1,SCO2,GOV,16,55.45,-7.55,07/03/1988 17:34:00,50,47,39E2,D,126438,Merlangius merlangus,-9,0,4.5,72.881,6.344,3.158,2.95,0.667,0.25,0.25,0,0,
SWC-IBTS,1988,1,SCO2,GOV,17,55.8167,-7.6833,07/03/1988 21:19:00,120,47,40E2,N,126438,Merlangius merlangus,-9,0,2,674.024,95.076,24.2,8.7,0,0,0,0,0,
SWC-IBTS,1988,1,SCO2,GOV,18,55.9,-8.1333,08/03/1988 08:21:00,172,47,40E1,D,126438,Merlangius merlangus,-9,0,0,350.262,30.521,7.483,0.733,0,0,0,0,0,
SWC-IBTS,1988,1,SCO2,GOV,19,56.25,-8.4333,08/03/1988 11:32:00,140,44,41E1,D,126438,Merlangius merlangus,-9,0,0.4,60.457,50.244,34.485,9.343,3.071,0,0,0,0,
SWC-IBTS,1988,1,SCO2,GOV,23,56.4333,-7.4417,09/03/1988 08:30:00,115,45,41E2,D,126438,Merlangius merlangus,-9,0,40.2,192.633,12.667,7.5,1,0,0,0,0,0,
SWC-IBTS,1988,1,SCO2,GOV,25,57.2167,-8.4667,09/03/1988 19:15:00,118,44,43E1,N,126438,Merlangius merlangus,-9,0,3.6,456.882,129.839,25.262,6.131,1.286,0,0,0,0,
SWC-IBTS,1988,1,SCO2,GOV,26,57.6,-8.5167,09/03/1988 22:19:00,150,44,44E1,N,126438,Merlangius merlangus,-9,0,3.4,345.064,80.53,26.082,5.638,0.286,1,0,0,0,
SWC-IBTS,1988,1,SCO2,GOV,29,57.6667,-9.1,10/03/1988 20:23:00,150,44,44E0,N,126438,Merlangius merlangus,-9,0,0.2,195.675,213.988,105.818,18.962,4.857,0.5,0,0,0,
SWC-IBTS,1988,1,SCO2,GOV,30,58.0167,-9.05,11/03/1988 08:23:00,175,44,45E0,D,126438,Merlangius merlangus,-9,0,0,50.911,70.518,45.757,9.1,1.714,0,0,0,0,
SWC-IBTS,1988,1,SCO2,GOV,31,58.2833,-8.4833,11/03/1988 11:45:00,160,44,45E1,D,126438,Merlangius merlangus,-9,0,0,7.161,5.381,6.901,1.629,0.929,0,0,0,0,
SWC-IBTS,1988,1,SCO2,GOV,32,58.4667,-8.1667,11/03/1988 14:19:00,153,44,45E1,D,126438,Merlangius merlangus,-9,0,0,0,0,1.667,0.333,0,0,0,0,0,
SWC-IBTS,1988,1,SCO2,GOV,34,58.2917,-7.38,11/03/1988 20:44:00,76,44,45E2,N,126438,Merlangius merlangus,-9,0,17.2,537.3,68.893,6.321,1.143,0.143,0,0,0,0,
SWC-IBTS,1988,1,SCO2,GOV,35,58.6167,-7.3167,12/03/1988 08:25:00,95,44,46E2,D,126438,Merlangius merlangus,-9,0,0,12.321,7.167,3.226,0.286,0,0,0,0,0,
SWC-IBTS,1988,1,SCO2,GOV,36,58.8167,-6.2667,12/03/1988 12:33:00,115,42,46E3,D,126438,Merlangius merlangus,-9,0,26.667,1132.5,129.667,10.167,0,0,0,0,0,0,
SWC-IBTS,1988,1,SCO2,GOV,37,59.2018,-6.2622,12/03/1988 17:13:00,124,42,47E3,D,126438,Merlangius merlangus,-9,0,0.333,4.417,4.75,2.5,0,0,0,0,0,0,
SWC-IBTS,1988,1,SCO2,GOV,39,59.3333,-5.1833,13/03/1988 08:20:00,111,42,47E4,D,126438,Merlangius merlangus,-9,0,0,12.25,2.75,0,0,0,0,0,0,0,
SWC-IBTS,1988,1,SCO2,GOV,40,59.5667,-5.5,13/03/1988 12:17:00,100,41,48E4,D,126438,Merlangius merlangus,-9,0,0,0,0,0,0,0,0,0,0,0,
SWC-IBTS,1988,1,SCO2,GOV,42,59.3667,-4.0667,13/03/1988 22:22:00,112,40,47E5,N,126438,Merlangius merlangus,-9,0,3,106.75,51.167,8.333,7.75,1,0,0,0,0,
SWC-IBTS,1988,1,SCO2,GOV,44,58.4167,-6.0667,15/03/1988 18:45:00,77,43,45E3,N,126438,Merlangius merlangus,-9,0,343.867,2089.567,63.4,15.167,0,2,0,0,0,0,
SWC-IBTS,1988,1,SCO2,GOV,45,58.0833,-5.7,15/03/1988 21:42:00,100,43,45E4,N,126438,Merlangius merlangus,-9,0,41.567,104.167,0.933,0.333,0,0,0,0,0,0,
SWC-IBTS,1988,1,SCO2,GOV,46,58.25,-6.0167,16/03/1988 08:25:00,120,43,45E3,D,126438,Merlangius merlangus,-9,0,122.544,425.456,0,0,0,0,0,0,0,0,
SWC-IBTS,1988,1,SCO2,GOV,47,58.4166,-5.8,16/03/1988 11:27:00,100,43,45E4,D,126438,Merlangius merlangus,-9,0,18.156,273.611,8.233,0,0,0,0,0,0,0,
SWC-IBTS,1988,1,SCO2,GOV,49,58.7333,-5.28,16/03/1988 21:44:00,76,42,46E4,N,126438,Merlangius merlangus,-9,0,4.167,53.167,4.333,1.333,0,0,0,0,0,0,
SWC-IBTS,1988,1,SCO2,GOV,50,58.6667,-4.3167,17/03/1988 08:25:00,94,40,46E5,D,126438,Merlangius merlangus,-9,0,5.333,43.667,27.333,3.333,3.667,0.667,0,0,0,0,
SWC-IBTS,1988,1,SCO2,GOV,53,59.7,-4.0667,17/03/1988 19:45:00,100,41,48E5,N,126438,Merlangius merlangus,-9,0,0,514,903,227.5,20.5,0,0,0,0,0,
SWC-IBTS,1988,1,SCO2,GOV,59,59.7,-4.05,19/03/1988 20:07:00,100,41,48E5,N,126438,Merlangius merlangus,-9,0,0,245,456,130,8,0,0,0,0,0,
SWC-IBTS,1988,1,SCO2,GOV,61,58.45,-5.7,20/03/1988 13:42:00,110,43,45E4,D,126438,Merlangius merlangus,-9,0,19.1,321.683,9.217,0,0,0,0,0,0,0,
SWC-IBTS,1988,1,SCO2,GOV,62,58.4167,-6.0358,20/03/1988 15:25:00,90,43,45E3,D,126438,Merlangius merlangus,-9,0,94.778,800.856,97.367,23,12,0,0,0,0,0,
SWC-IBTS,1988,1,SCO2,GOV,63,58.2667,-6.0167,20/03/1988 18:58:00,115,43,45E3,N,126438,Merlangius merlangus,-9,0,52.7,438.3,0,0,0,0,0,0,0,0,
SWC-IBTS,1988,1,SCO2,GOV,64,58.1167,-5.7,20/03/1988 21:26:00,100,43,45E4,N,126438,Merlangius merlangus,-9,0,45.533,324.167,7.8,1.5,0,0,0,0,0,0,
SWC-IBTS,1988,1,SCO2,GOV,66,59.4333,-4.0667,21/03/1988 11:39:00,110,40,47E5,D,126438,Merlangius merlangus,-9,0,9.833,256.417,110.75,28.333,20,0.667,0,0,0,0,
SWC-IBTS,1989,1,SCO2,GOV,1,58.7833,-5.35,03/03/1989 08:43:00,89,42,46E4,D,126438,Merlangius merlangus,-9,0,1.45,3.155,2.519,0.71,0.167,0,0,0,0,0,
SWC-IBTS,1989,1,SCO2,GOV,2,58.8167,-6.2833,03/03/1989 13:23:00,121,42,46E3,D,126438,Merlangius merlangus,-9,0,65.15,1351.883,1179.033,590.6,107.333,0,0,0,0,0,
SWC-IBTS,1989,1,SCO2,GOV,3,58.6272,-7.322,03/03/1989 18:44:00,105,44,46E2,N,126438,Merlangius merlangus,-9,0,0,18.381,41.002,6.483,2.933,0.2,0,0,0,0,
SWC-IBTS,1989,1,SCO2,GOV,5,58.3,-7.35,04/03/1989 08:37:00,81,44,45E2,D,126438,Merlangius merlangus,-9,0,5.7,30.456,49.285,3.917,1,0.643,0,0,0,0,
SWC-IBTS,1989,1,SCO2,GOV,6,58.4333,-6.0333,04/03/1989 15:03:00,100,43,45E3,D,126438,Merlangius merlangus,-9,0,78.381,24.705,39.171,4.243,0,0,0.5,0,0,0,
SWC-IBTS,1989,1,SCO2,GOV,7,58.3823,-5.7672,04/03/1989 17:30:00,108,43,45E4,N,126438,Merlangius merlangus,-9,0,14.429,1.114,4.257,1.2,0,0,0,0,0,0,
SWC-IBTS,1989,1,SCO2,GOV,8,58.35,-5.9833,04/03/1989 21:32:00,101,43,45E4,N,126438,Merlangius merlangus,-9,0,87.238,2.219,3.4,0.143,1,0,0,0,0,0,
SWC-IBTS,1989,1,SCO2,GOV,9,58.0667,-5.7,05/03/1989 08:27:00,86,43,45E4,D,126438,Merlangius merlangus,-9,0,52.571,2.029,3.114,0.286,0,0,0,0,0,0,
SWC-IBTS,1989,1,SCO2,GOV,10,57.9167,-6.2,05/03/1989 11:37:00,75,43,44E3,D,126438,Merlangius merlangus,-9,0,1571.19,18.145,33.993,3.171,0,0,0.5,0,0,0,
